AgroClimaticZone,District,Station,Item,Year,avg_temp,average_rain_fall_mm_per_year,avg_humidity_percent,wind_speed_m_s,solar_radiation_mj_m2,soil_moisture_percent,soil_ph,organic_carbon_percent,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,pesticides_tonnes,rainfall_variability,drought_flag,flood_flag,hg_ha_yield
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2019,19.22,2868.6,96.4,2.48,21.56,45.0,6.4,0.956,93.3,48.0,17.7,1.371,24.15,0,1,995.0
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2020,19.9,3141.6,97.0,2.42,17.39,45.0,7.16,0.761,108.2,44.6,35.5,1.381,21.4,0,1,1019.3
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2021,18.81,2861.2,97.0,3.21,16.82,45.0,6.29,0.672,62.2,50.8,32.2,1.165,13.74,0,1,825.4
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2022,20.9,3044.1,97.0,2.73,17.99,45.0,6.63,1.053,102.3,51.3,29.3,0.996,10.88,0,1,1145.1
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2023,20.66,2908.0,97.0,3.67,18.78,45.0,7.38,0.611,92.2,30.6,45.6,1.344,24.12,0,1,1072.8
Hill Zone,Darjeeling,Darjeeling Sadar,Rice,2024,18.34,3000.3,97.0,2.46,18.64,45.0,6.25,0.642,116.2,53.5,52.6,1.461,21.91,0,1,774.0
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2000,16.71,3205.5,91.4,1.61,20.56,45.0,6.33,0.308,98.9,42.8,54.6,1.577,19.66,0,1,1144.4
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2001,17.31,3103.4,97.0,1.79,18.35,45.0,6.96,0.863,142.5,46.5,52.7,0.86,16.03,0,1,1249.5
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2002,17.19,2784.2,97.0,2.47,18.65,45.0,5.53,0.493,115.3,62.1,39.3,1.209,19.62,0,1,1127.7
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2003,17.63,3301.5,97.0,1.27,22.04,45.0,7.07,0.573,101.1,34.7,83.1,0.847,27.89,0,1,1191.4
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2004,18.86,2731.8,93.7,3.29,14.24,45.0,6.57,0.441,95.0,46.7,44.3,0.739,13.4,0,1,1287.2
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2005,17.58,2819.7,97.0,3.22,13.41,45.0,6.08,0.455,135.6,45.7,67.5,0.666,20.68,0,1,1199.5
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2006,17.91,3251.4,97.0,3.02,17.86,45.0,6.35,0.66,138.8,38.7,44.4,0.383,22.27,0,1,1144.1
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2007,16.79,3102.6,97.0,1.53,14.74,45.0,5.84,0.726,85.8,42.0,53.7,0.673,20.96,0,1,1024.3
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2008,17.47,2694.1,97.0,2.38,18.73,45.0,6.48,0.66,167.2,36.3,21.6,0.596,10.35,0,1,1277.9
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2009,19.74,2895.2,90.1,2.35,22.17,39.25,6.66,0.435,141.2,35.6,40.7,0.448,12.5,0,1,1374.2
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2010,19.77,3023.9,95.1,1.27,16.82,45.0,6.36,0.631,76.3,53.8,44.4,1.287,29.56,0,1,1482.5
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2011,18.05,3101.3,97.0,2.08,17.82,45.0,6.7,0.629,117.5,51.7,34.1,0.616,16.94,0,1,1216.4
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2012,19.18,3115.2,93.6,2.65,13.97,45.0,6.25,0.235,112.7,57.7,42.6,0.773,16.12,0,1,1249.4
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2013,18.66,2989.2,97.0,1.76,18.71,45.0,6.33,0.562,126.6,25.0,51.9,0.973,20.06,0,1,1404.2
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2014,18.26,3056.6,97.0,2.9,18.62,45.0,6.67,0.884,140.3,59.2,21.6,1.183,17.48,0,1,1235.6
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2015,19.43,2773.1,88.8,2.16,21.82,45.0,6.54,1.0,157.8,53.1,41.4,0.522,14.19,0,1,1512.9
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2016,19.48,3141.6,97.0,2.06,17.83,45.0,6.69,0.864,121.9,49.4,50.4,0.599,8.52,0,1,1482.7
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2017,19.01,3187.2,92.6,2.34,16.2,45.0,5.27,0.583,136.9,61.9,36.0,0.896,22.9,0,1,1138.6
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2018,18.97,3241.2,97.0,3.79,21.41,45.0,6.55,0.807,93.8,54.3,58.6,1.487,17.4,0,1,1560.9
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2019,19.35,3425.2,97.0,3.63,15.1,45.0,6.3,0.807,141.4,27.8,31.3,1.001,14.41,0,1,1337.5
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2020,20.31,3229.9,97.0,2.27,21.09,45.0,6.95,0.468,84.4,58.7,34.5,1.103,19.92,0,1,1354.4
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2021,19.27,3035.5,97.0,2.16,16.68,45.0,7.52,1.05,111.9,58.9,68.0,0.863,12.5,0,1,1488.7
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2022,19.72,2925.6,89.0,1.59,20.0,45.0,6.33,0.693,128.6,49.0,52.5,0.633,16.19,0,1,1344.6
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2023,20.5,3110.0,97.0,2.35,17.33,45.0,5.6,0.443,98.7,100.6,59.3,0.867,22.63,0,1,1628.0
Hill Zone,Darjeeling,Darjeeling Sadar,Wheat,2024,19.03,3032.0,97.0,2.95,20.01,45.0,7.36,0.992,127.0,67.3,14.6,1.091,17.2,0,1,1514.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2000,19.31,3037.8,90.4,2.86,15.78,45.0,6.1,0.582,40.7,76.9,48.8,1.233,30.24,0,1,1130.6
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2001,16.61,2910.7,91.4,2.25,18.24,43.61,6.57,0.348,118.9,53.0,40.3,0.878,15.12,0,1,613.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2002,16.77,3109.4,97.0,3.99,21.97,45.0,6.06,0.939,108.3,53.8,40.6,0.928,15.75,0,1,707.4
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2003,17.46,3030.3,97.0,2.55,17.28,45.0,6.75,0.427,103.8,71.5,49.0,0.937,27.68,0,1,761.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2004,18.77,2996.6,97.0,1.23,15.99,45.0,6.73,0.771,151.9,26.7,56.3,0.812,14.37,0,1,1085.6
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2005,17.7,2638.6,92.4,1.55,16.05,45.0,6.56,0.967,104.0,27.4,33.7,0.624,11.05,0,1,838.3
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2006,18.03,2661.5,97.0,2.52,19.07,45.0,6.72,0.658,147.1,62.6,50.9,1.023,9.62,0,1,939.1
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2007,18.49,3164.0,94.3,3.74,18.31,45.0,5.55,0.594,107.3,42.1,46.4,0.708,21.67,0,1,870.5
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2008,18.76,3341.4,97.0,1.89,16.61,45.0,6.79,0.42,95.5,54.5,30.3,0.613,15.51,0,1,818.4
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2009,17.24,3021.3,97.0,2.47,12.68,45.0,6.8,0.761,107.6,39.0,54.5,0.726,11.34,0,1,715.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2010,20.46,3166.9,97.0,2.26,20.81,45.0,6.32,1.147,133.0,46.0,43.7,0.998,25.62,0,1,1406.6
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2011,16.98,3051.9,97.0,2.68,21.95,45.0,6.81,0.43,136.0,92.7,56.6,0.976,19.28,0,1,818.8
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2012,17.9,3090.7,97.0,3.12,16.69,45.0,6.26,0.674,106.0,34.5,44.7,1.163,12.56,0,1,885.0
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2013,19.68,2870.2,97.0,1.86,21.4,45.0,7.41,0.606,132.2,57.2,46.5,1.364,10.44,0,1,1334.2
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2014,18.93,3440.2,97.0,2.13,18.83,45.0,6.42,0.748,94.3,16.6,58.5,1.11,19.25,0,1,1078.3
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2015,20.15,3011.1,95.9,2.47,21.57,45.0,7.0,0.522,77.0,77.7,43.5,0.51,16.21,0,1,1232.1
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2016,20.35,3018.0,97.0,3.1,16.07,45.0,6.38,0.543,95.2,56.2,45.4,0.73,15.8,0,1,1342.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2017,19.31,3319.8,97.0,3.01,24.81,45.0,6.8,0.586,165.7,85.6,15.7,0.609,22.35,0,1,1158.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2018,19.91,3100.0,97.0,3.06,17.77,45.0,5.27,0.777,79.0,72.3,41.6,0.633,20.6,0,1,1083.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2019,18.13,2755.8,96.2,2.95,21.07,45.0,6.92,0.654,107.2,65.3,60.9,0.798,16.9,0,1,905.1
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2020,19.25,2909.2,97.0,2.32,19.39,45.0,6.58,0.728,97.4,91.4,50.6,1.433,24.11,0,1,1202.7
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2021,18.77,3216.6,97.0,2.63,17.14,45.0,6.29,0.206,121.2,41.9,34.3,0.834,20.0,0,1,876.0
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2022,17.3,2871.1,85.8,1.92,22.77,45.0,6.73,0.376,119.0,49.2,44.1,1.071,28.9,0,1,780.0
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2023,19.39,2892.4,97.0,2.43,20.5,45.0,7.27,0.253,101.1,70.9,39.7,0.662,16.76,0,1,942.9
Hill Zone,Darjeeling,Darjeeling Sadar,Maize,2024,19.41,3677.6,97.0,1.82,15.38,45.0,6.9,0.486,89.3,70.9,58.0,0.788,11.65,0,1,1003.9
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2000,17.79,2603.2,97.0,2.16,19.44,45.0,6.99,0.42,136.1,75.8,33.8,0.614,17.7,0,1,289.9
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2001,20.21,2563.0,86.8,2.41,17.32,45.0,6.54,0.607,144.1,16.5,45.0,0.686,19.16,0,1,460.4
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2002,17.62,2968.8,97.0,2.84,15.96,45.0,7.55,0.358,119.1,100.2,56.8,0.966,17.11,0,1,313.9
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2003,18.42,2989.6,97.0,2.32,16.68,45.0,6.38,0.471,104.6,73.8,50.5,1.051,20.5,0,1,383.4
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2004,18.54,3045.5,97.0,1.84,22.02,45.0,6.03,0.552,89.7,57.9,34.2,1.243,13.67,0,1,328.1
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2005,17.91,2654.3,94.6,3.34,19.94,43.32,6.02,1.006,119.6,55.1,60.8,1.636,26.14,0,1,400.5
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2006,19.13,3258.2,97.0,1.86,18.16,45.0,6.37,0.669,180.2,39.7,43.2,0.851,20.98,0,1,459.2
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2007,18.23,2927.3,89.1,1.95,19.61,45.0,5.89,0.575,110.9,64.1,36.1,0.825,7.45,0,1,326.3
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2008,20.58,2613.0,92.2,2.75,16.88,44.22,6.37,0.649,107.5,21.2,42.8,0.643,15.07,0,1,456.0
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2009,19.54,3322.5,97.0,3.25,21.52,45.0,7.09,0.621,104.8,69.9,24.5,0.963,15.18,0,1,419.1
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2010,16.95,2911.4,97.0,3.22,20.97,45.0,6.31,0.484,122.1,50.5,54.1,1.426,18.17,0,1,281.2
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2011,17.95,2780.9,89.5,3.51,18.68,43.84,6.73,0.902,99.2,42.8,39.9,0.985,22.2,0,1,372.4
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2012,20.26,3388.9,97.0,3.06,13.41,45.0,6.56,0.573,137.3,48.5,31.1,1.333,22.36,0,1,512.1
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2013,19.97,3360.6,97.0,0.88,15.97,45.0,5.91,0.69,145.8,46.3,28.0,1.508,15.65,0,1,462.2
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2014,19.24,3214.2,97.0,3.15,16.54,45.0,6.49,0.804,91.0,61.0,43.6,1.747,14.11,0,1,513.9
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2015,18.96,3087.1,97.0,3.23,21.8,45.0,6.1,0.542,125.3,65.5,66.0,1.026,24.72,0,1,457.8
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2016,19.22,2774.6,89.5,1.59,22.77,45.0,7.02,0.767,161.5,73.1,43.5,0.84,18.87,0,1,445.4
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2017,18.49,3108.8,97.0,1.41,18.78,45.0,6.49,0.818,108.3,68.9,21.2,1.232,14.74,0,1,419.3
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2018,19.3,2521.6,88.3,2.75,22.66,45.0,6.53,0.367,152.9,87.5,45.4,0.834,8.65,0,1,457.5
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2019,22.11,3281.2,97.0,2.98,15.04,45.0,5.78,0.608,118.4,70.9,51.2,1.016,13.79,0,1,514.9
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2020,19.23,2952.9,91.4,1.71,16.53,43.85,5.73,0.323,115.5,62.3,75.1,0.451,14.28,0,1,397.8
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2021,18.95,3041.0,97.0,2.36,14.53,45.0,6.57,0.711,68.8,37.3,53.0,1.073,14.5,0,1,412.2
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2022,19.85,2706.1,93.7,2.89,16.28,40.05,6.26,0.8,157.4,15.6,84.2,0.562,24.1,0,1,468.8
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2023,20.33,3150.7,95.3,3.04,15.85,42.82,7.81,0.792,164.5,38.6,67.0,1.377,27.69,0,1,510.1
Hill Zone,Darjeeling,Darjeeling Sadar,Pulses,2024,17.96,3075.5,87.9,1.41,18.28,45.0,6.32,0.628,167.9,78.4,44.3,1.263,13.68,0,1,381.2
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2000,19.56,2830.7,95.8,1.68,18.35,45.0,6.02,0.695,83.1,34.3,26.5,1.336,32.53,0,1,189.2
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2001,17.81,3278.4,97.0,3.16,18.87,45.0,6.7,0.534,97.9,24.0,38.4,0.473,17.49,0,1,93.3
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2002,18.73,3220.5,94.8,2.03,15.17,45.0,7.25,0.82,99.5,81.4,22.3,1.35,14.42,0,1,132.1
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2003,21.57,3479.2,97.0,2.72,17.36,45.0,5.66,0.514,124.0,59.0,63.0,0.924,32.46,0,1,284.4
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2004,18.97,2675.5,87.6,3.53,15.17,45.0,6.37,0.441,99.6,45.7,37.7,1.126,22.27,0,1,151.2
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2005,17.72,3181.2,97.0,3.32,25.97,45.0,6.38,0.616,84.3,38.7,29.9,0.781,15.8,0,1,106.1
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2006,18.3,3070.8,93.8,3.75,19.52,45.0,6.8,0.948,102.5,67.9,85.6,0.533,25.42,0,1,148.1
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2007,19.24,3292.3,97.0,2.13,19.25,45.0,6.05,0.524,105.6,57.7,51.9,0.465,30.52,0,1,168.9
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2008,19.62,3032.0,97.0,2.99,19.26,45.0,6.78,1.248,53.2,73.4,50.7,0.866,26.8,0,1,182.8
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2009,19.02,3461.7,97.0,2.3,18.35,45.0,7.19,0.464,136.9,31.8,55.3,0.868,3.0,0,1,155.5
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2010,17.66,3011.2,97.0,1.8,14.73,45.0,6.46,0.967,120.0,38.7,44.0,1.279,24.17,0,1,118.5
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2011,18.95,3089.6,97.0,3.99,18.02,45.0,6.15,0.799,129.8,52.5,34.7,0.907,8.04,0,1,149.0
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2012,19.83,3002.9,97.0,3.48,20.0,45.0,7.49,0.787,99.1,68.5,51.3,0.636,18.81,0,1,190.0
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2013,16.73,3075.5,97.0,2.28,12.93,45.0,6.38,0.671,75.0,66.7,26.3,0.831,26.41,0,1,80.0
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2014,18.41,3370.0,97.0,2.39,18.68,45.0,5.27,0.48,79.0,34.9,31.8,0.642,20.22,0,1,107.5
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2015,19.15,3210.9,97.0,2.69,23.03,45.0,6.07,0.637,81.9,60.0,58.2,0.649,17.08,0,1,169.5
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2016,18.48,3160.4,96.1,2.01,16.43,45.0,6.2,0.544,93.1,52.0,54.8,0.957,30.71,0,1,138.2
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2017,20.67,3179.9,97.0,1.59,17.62,45.0,6.28,0.219,136.4,48.0,38.4,0.823,16.99,0,1,238.3
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2018,17.71,2902.1,97.0,2.7,16.87,45.0,5.98,0.638,145.4,36.0,67.8,1.153,15.64,0,1,121.3
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2019,17.52,2718.0,88.0,2.31,17.02,45.0,6.45,0.223,124.9,29.5,35.1,0.776,11.42,0,1,86.9
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2020,18.06,3113.5,97.0,2.99,15.02,45.0,5.94,0.74,48.9,77.3,37.7,0.665,20.4,0,1,119.7
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2021,19.57,3358.4,97.0,3.46,21.74,45.0,7.12,0.683,112.6,38.4,40.7,1.133,10.48,0,1,195.2
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2022,19.61,3180.1,89.5,2.53,19.94,45.0,6.45,0.174,130.1,43.1,58.1,0.347,22.51,0,1,165.7
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2023,20.14,2903.3,94.8,4.17,15.51,45.0,6.26,0.445,145.7,86.1,34.4,0.382,25.39,0,1,219.0
Hill Zone,Darjeeling,Darjeeling Sadar,Millet,2024,20.19,3382.3,97.0,2.48,13.85,45.0,6.89,0.516,178.4,56.3,35.4,1.139,29.17,0,1,239.7
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2000,17.22,3201.6,97.0,2.25,15.68,45.0,6.47,0.429,98.6,41.4,49.4,0.933,25.26,0,0,238.3
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2001,16.87,3209.9,97.0,2.92,21.09,45.0,5.92,0.836,78.0,16.1,60.4,0.683,16.52,0,0,182.7
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2002,17.17,2850.2,95.6,2.86,11.11,45.0,5.81,0.437,130.3,53.7,22.0,1.453,13.2,0,0,436.4
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2003,18.87,3440.9,97.0,3.31,15.77,45.0,6.02,0.578,166.9,60.7,46.6,1.573,20.53,0,1,227.1
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2004,19.49,2844.5,97.0,3.44,16.28,45.0,6.49,0.653,80.7,65.2,14.4,0.77,15.94,0,0,538.8
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2005,19.05,2833.8,97.0,2.47,16.05,44.66,5.81,0.722,81.1,56.2,60.9,1.21,27.72,0,0,553.1
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2006,17.55,3351.0,97.0,3.39,18.03,45.0,6.82,0.793,125.1,62.2,48.5,0.968,24.3,0,1,162.2
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2007,20.68,3091.8,97.0,2.54,17.26,45.0,6.25,0.395,88.6,49.3,77.3,0.962,23.97,0,0,504.2
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2008,19.19,3270.7,97.0,2.11,19.81,45.0,5.89,0.646,102.1,13.1,54.0,1.062,15.73,0,1,228.6
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2009,20.46,3177.4,97.0,3.59,16.44,45.0,6.28,0.637,107.4,55.0,61.7,0.937,17.44,0,0,489.8
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2010,19.24,2910.4,95.6,2.56,16.3,45.0,6.09,1.051,149.9,63.1,44.2,1.557,20.3,0,0,602.1
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2011,19.23,3186.6,97.0,2.59,24.3,45.0,6.75,0.45,164.5,49.0,44.1,1.177,25.89,0,0,364.7
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2012,18.54,2795.4,97.0,2.53,16.95,45.0,6.21,0.501,125.9,82.3,16.0,0.865,15.85,0,0,552.5
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2013,17.91,3082.6,95.0,3.09,18.3,45.0,6.59,0.601,63.4,65.7,49.3,0.854,24.27,0,0,333.0
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2014,17.78,2936.6,97.0,3.59,15.78,45.0,6.08,0.55,62.5,55.6,25.8,0.537,23.86,0,0,326.2
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2015,18.93,3261.0,97.0,2.36,18.13,45.0,7.27,0.78,76.9,55.1,55.7,1.044,29.34,0,1,263.8
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2016,18.45,3095.7,93.7,2.77,18.45,45.0,6.45,0.231,89.8,57.0,26.2,0.64,16.17,0,0,317.5
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2017,18.89,2911.7,97.0,2.22,16.5,45.0,6.01,0.78,61.5,53.7,55.8,0.787,19.8,0,0,430.1
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2018,20.54,3369.5,97.0,1.37,14.86,45.0,7.26,0.709,147.4,44.1,42.2,0.9,20.9,0,1,305.0
Hill Zone,Darjeeling,Darjeeling Sadar,Jute,2019,20.17,3420.4,97.0,1.65,19.05,45.0,5.21,0.812,114.7,46.4,76.7,0.942,13.84,0,1,301.9
